budget,pair_recall,full_coverage,mean_candidates,p50_candidates,p90_candidates,p95_candidates,p99_candidates,max_candidates,zero_match_mean_candidates
3,0.4214875554809701,0.12694882223351975,3.0,3.0,3.0,3.0,3.0,3,3.0
5,0.49944157354736785,0.2002626673445179,5.0,5.0,5.0,5.0,5.0,5,5.0
8,0.5254243173019612,0.22987629215387223,8.0,8.0,8.0,8.0,8.0,8,8.0
10,0.5309217797890132,0.23580749025588882,10.0,10.0,10.0,10.0,10.0,10,10.0
15,0.8431892226588044,0.6230299949161159,14.9899,15.0,15.0,15.0,15.0,15,14.997492836676217
Internal,0.8792352161660117,0.6916200643958651,22.32148,19.0,26.0,49.0,94.0,179,24.17406876790831
