Budget,Old Pair Recall,New Pair Recall,Delta Pair Recall,Old Full Coverage,New Full Coverage,Delta Full Coverage
3,0.4214875554809701,0.4931918267199824,0.0717042712390123,0.1269488222335197,0.1620276224368751,0.03507880020335541
5,0.4994415735473678,0.6545857517345941,0.1551441781872263,0.2002626673445179,0.32312319945771906,0.12286053211320117
8,0.5254243173019612,0.769997743146979,0.24457342584501784,0.2298762921538722,0.4877139467886799,0.2578376546348077
10,0.5309217797890132,0.8054071883662121,0.27448540857719883,0.2358074902558888,0.5479156075241485,0.3121081172682597
15,0.8431892226588044,0.8552778533277009,0.012088630668896538,0.6230299949161159,0.6417344517878326,0.018704456871716735
