budget,pair_recall,full_coverage,mean_candidates,p50_candidates,p90_candidates,p95_candidates,p99_candidates,zero_match_mean_candidates,zero_match_zero_pct,single_coverage,multi_coverage,s2_recall,s3_recall,us_recall,in_recall
3,0.4931918267199824,0.1620276224368751,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.6685185185185185,0.13130223779994607,0.5639844365407108,0.4265622718235023,0.5007586670508019,0.48171877047628753
5,0.6545857517345941,0.32312319945771906,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.7707407407407407,0.29596926395254786,0.7021698135726733,0.6097999348468339,0.6551234034380102,0.653770549092127
8,0.769997743146979,0.4877139467886799,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.8177777777777778,0.4676912015817381,0.7950731625808608,0.7463969175812448,0.7632286564870835,0.7802612228256913
10,0.8054071883662121,0.5479156075241485,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.8318518518518518,0.5306911117102543,0.8384933043706586,0.7742667460486852,0.7976183616633055,0.8172168265940563
12,0.8327035363150799,0.5976529401796306,11.99948,12.0,12.0,12.0,12.0,11.999283667621777,0.0,0.8455555555555555,0.5826143614631077,0.8505836297233428,0.8158749059210748,0.824488619994238,0.8451592236119807
15,0.8552778533277009,0.6417344517878326,14.9899,15.0,15.0,15.0,15.0,14.997492836676217,0.0,0.8566666666666667,0.6286959647703784,0.8720549972549113,0.8394873119825659,0.8487467588591184,0.8651804825487427
Internal,0.8792352161660117,0.6916200643958651,22.32148,19.0,26.0,49.0,94.0,24.17406876790831,0.0,0.8788888888888889,0.680259728588119,0.8905545079130165,0.8685815706406353,0.8766061653702103,0.8832214569652139
